Timestamp,Uploaded Image Path,Vision Model Used,Keyword Model Used,Image Analysis,Main Entity,Confidence,Reason,Final Open Library Search Query,Open Library Search URL,Title,Author,First Publish Year,Edition Count,Languages,First ISBN,Open Library Work ID,Message,Error,Image Encoding Time (seconds),Vision API Time (seconds),Keyword API Time (seconds),Open Library API Time (seconds),Other Processing / Network Delay (seconds),Total Processing Time (seconds)
25-04-2026 15:47,/tmp/gradio/3ef0c25ab54be3dfc66e8671d5e0fc79f00705289c1c5531855c5075f6e9429c/ashutosh.jpg,gpt-5.4-mini,gpt-5.4-nano,"Main Entity: Mahatma Gandhi
Confidence: Low
Reason: The image shows a well-known historical figure with a similar mustache and draped clothing, but the face is not clearly identifiable.",Mahatma Gandhi,Low,"The image shows a well-known historical figure with a similar mustache and draped clothing, but the face is not clearly identifiable.",Mahatma Gandhi,https://openlibrary.org/search.json?q=Mahatma+Gandhi,Mahatma Gandhi,B. R. Nanda,1958,7,eng,'9780812000696,/works/OL327370W,,,0.0001,2.4914,0.9479,0.5711,0.0059,4.0163
25-04-2026 15:47,/tmp/gradio/3ef0c25ab54be3dfc66e8671d5e0fc79f00705289c1c5531855c5075f6e9429c/ashutosh.jpg,gpt-5.4-mini,gpt-5.4-nano,"Main Entity: Mahatma Gandhi
Confidence: Low
Reason: The image shows a well-known historical figure with a similar mustache and draped clothing, but the face is not clearly identifiable.",Mahatma Gandhi,Low,"The image shows a well-known historical figure with a similar mustache and draped clothing, but the face is not clearly identifiable.",Mahatma Gandhi,https://openlibrary.org/search.json?q=Mahatma+Gandhi,Mahatma Gandhi,B. R. Nanda,1958,6,eng,'0195623452,/works/OL11318858W,,,0.0001,2.4914,0.9479,0.5711,0.0059,4.0163
25-04-2026 15:47,/tmp/gradio/3ef0c25ab54be3dfc66e8671d5e0fc79f00705289c1c5531855c5075f6e9429c/ashutosh.jpg,gpt-5.4-mini,gpt-5.4-nano,"Main Entity: Mahatma Gandhi
Confidence: Low
Reason: The image shows a well-known historical figure with a similar mustache and draped clothing, but the face is not clearly identifiable.",Mahatma Gandhi,Low,"The image shows a well-known historical figure with a similar mustache and draped clothing, but the face is not clearly identifiable.",Mahatma Gandhi,https://openlibrary.org/search.json?q=Mahatma+Gandhi,Mahatma Gandhi,Mohandas Karamchand Gandhi,1929,10,"eng, spa",'9788489897496,/works/OL298465W,,,0.0001,2.4914,0.9479,0.5711,0.0059,4.0163
25-04-2026 15:47,/tmp/gradio/3ef0c25ab54be3dfc66e8671d5e0fc79f00705289c1c5531855c5075f6e9429c/ashutosh.jpg,gpt-5.4-mini,gpt-5.4-nano,"Main Entity: Mahatma Gandhi
Confidence: Low
Reason: The image shows a well-known historical figure with a similar mustache and draped clothing, but the face is not clearly identifiable.",Mahatma Gandhi,Low,"The image shows a well-known historical figure with a similar mustache and draped clothing, but the face is not clearly identifiable.",Mahatma Gandhi,https://openlibrary.org/search.json?q=Mahatma+Gandhi,Mahatma Gandhi,Rabindranath Tagore,1963,2,eng,N/A,/works/OL308858W,,,0.0001,2.4914,0.9479,0.5711,0.0059,4.0163
25-04-2026 15:47,/tmp/gradio/3ef0c25ab54be3dfc66e8671d5e0fc79f00705289c1c5531855c5075f6e9429c/ashutosh.jpg,gpt-5.4-mini,gpt-5.4-nano,"Main Entity: Mahatma Gandhi
Confidence: Low
Reason: The image shows a well-known historical figure with a similar mustache and draped clothing, but the face is not clearly identifiable.",Mahatma Gandhi,Low,"The image shows a well-known historical figure with a similar mustache and draped clothing, but the face is not clearly identifiable.",Mahatma Gandhi,https://openlibrary.org/search.json?q=Mahatma+Gandhi,Mahatma Gandhi,"Isabel Sanchez Vegara, Albert Arrayas",2019,4,eng,'0711246084,/works/OL21194371W,,,0.0001,2.4914,0.9479,0.5711,0.0059,4.0163
25-04-2026 15:50,/tmp/gradio/09fe759f66b7227a55bbdedda15bd73ec3a42f23eb586f0d33ca0bfc6892bfbd/bahaihouseofworshipdelhi.jpg,gpt-5.4-mini,gpt-5.4-nano,"Main Entity: Lotus Temple
Confidence: High
Reason: The image shows the distinctive lotus-shaped Bahá'í House of Worship in Delhi.",Lotus Temple,High,The image shows the distinctive lotus-shaped Bahá'í House of Worship in Delhi.,Lotus Temple,https://openlibrary.org/search.json?q=Lotus+Temple,Becoming the Lotus,Anton Temple,2007,1,eng,'9781885928184,/works/OL9852116W,,,0.0001,0.9335,1.4468,0.3706,0.0009,2.7518
25-04-2026 15:50,/tmp/gradio/09fe759f66b7227a55bbdedda15bd73ec3a42f23eb586f0d33ca0bfc6892bfbd/bahaihouseofworshipdelhi.jpg,gpt-5.4-mini,gpt-5.4-nano,"Main Entity: Lotus Temple
Confidence: High
Reason: The image shows the distinctive lotus-shaped Bahá'í House of Worship in Delhi.",Lotus Temple,High,The image shows the distinctive lotus-shaped Bahá'í House of Worship in Delhi.,Lotus Temple,https://openlibrary.org/search.json?q=Lotus+Temple,By Temple Shrine and Lotus Pool,William H. Robinson,2018,2,eng,'9780342786725,/works/OL31138277W,,,0.0001,0.9335,1.4468,0.3706,0.0009,2.7518
25-04-2026 15:50,/tmp/gradio/09fe759f66b7227a55bbdedda15bd73ec3a42f23eb586f0d33ca0bfc6892bfbd/bahaihouseofworshipdelhi.jpg,gpt-5.4-mini,gpt-5.4-nano,"Main Entity: Lotus Temple
Confidence: High
Reason: The image shows the distinctive lotus-shaped Bahá'í House of Worship in Delhi.",Lotus Temple,High,The image shows the distinctive lotus-shaped Bahá'í House of Worship in Delhi.,Lotus Temple,https://openlibrary.org/search.json?q=Lotus+Temple,By Temple Shrine and Lotus Pool,"Robinson, William, George Smith",2023,1,eng,'1021421146,/works/OL37641451W,,,0.0001,0.9335,1.4468,0.3706,0.0009,2.7518
25-04-2026 15:50,/tmp/gradio/09fe759f66b7227a55bbdedda15bd73ec3a42f23eb586f0d33ca0bfc6892bfbd/bahaihouseofworshipdelhi.jpg,gpt-5.4-mini,gpt-5.4-nano,"Main Entity: Lotus Temple
Confidence: High
Reason: The image shows the distinctive lotus-shaped Bahá'í House of Worship in Delhi.",Lotus Temple,High,The image shows the distinctive lotus-shaped Bahá'í House of Worship in Delhi.,Lotus Temple,https://openlibrary.org/search.json?q=Lotus+Temple,By temple shrine and lotus pool,William H. Robinson,1910,1,eng,N/A,/works/OL2771782W,,,0.0001,0.9335,1.4468,0.3706,0.0009,2.7518
25-04-2026 15:50,/tmp/gradio/09fe759f66b7227a55bbdedda15bd73ec3a42f23eb586f0d33ca0bfc6892bfbd/bahaihouseofworshipdelhi.jpg,gpt-5.4-mini,gpt-5.4-nano,"Main Entity: Lotus Temple
Confidence: High
Reason: The image shows the distinctive lotus-shaped Bahá'í House of Worship in Delhi.",Lotus Temple,High,The image shows the distinctive lotus-shaped Bahá'í House of Worship in Delhi.,Lotus Temple,https://openlibrary.org/search.json?q=Lotus+Temple,By temple shrine and lotus pool,William Robinson,1910,1,eng,'9780524100493,/works/OL13799194W,,,0.0001,0.9335,1.4468,0.3706,0.0009,2.7518
